parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
TGFb_0	TGFb_0	lin	1	1	1	0
IL6_0	IL6_0	lin	0	0	0	0
kf_il6_bind	kf_il6_bind	log10	0.001	10	0.1	1
kr_il6_bind	kr_il6_bind	log10	0.001	10	0.1	1
k_act_il6r	k_act_il6r	log10	0.005	50	0.5	1
k_internalize	k_internalize	log10	0.0003	3	0.03	1
k_recycle	k_recycle	log10	0.0002	2	0.02	1
k_phos_smad3	k_phos_smad3	log10	0.001	10	0.1	1
k_dephos_smad3	k_dephos_smad3	log10	0.0005	5	0.05	1
kf_stat3_bind	kf_stat3_bind	log10	0.01	100	1	1
Kd_stat3_bind	Kd_stat3_bind	log10	0.001	10	0.1	0
k_phos_stat3	k_phos_stat3	log10	0.0008	8	0.08	1
kf_dimer	kf_dimer	log10	0.001	10	0.1	1
Kd_dimer	Kd_dimer	log10	0.005	50	0.5	0
k_dephos_stat3d	k_dephos_stat3d	log10	0.0005	5	0.05	1
kf_s3s4	kf_s3s4	log10	0.01	100	1	1
Kd_s3s4	Kd_s3s4	log10	0.001	10	0.1	0
kf_s3stat3d	kf_s3stat3d	log10	0.01	100	1	1
Kd_s3stat3d	Kd_s3stat3d	log10	0.001	10	0.1	0
kf_pka_bind	kf_pka_bind	log10	0.01	100	1	1
Kd_pka_bind	Kd_pka_bind	log10	0.001	10	0.1	0
IL6R_0	IL6R_0	log10	1	10000	100	0
SMAD3_0	SMAD3_0	log10	1	10000	100	0
SMAD4_0	SMAD4_0	log10	0.5	5000	50	0
STAT3m_0	STAT3m_0	log10	1	10000	100	0
PKA_0	PKA_0	log10	0.5	5000	50	0
sigma_log_shared	sigma_log_shared	log10	1e-05	10	0.009999750013540205	1
